DATA ĐH 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,AUTO,,,,,,,,
,,,MÔ TẢ SẢN PHẨM,,,,,,TỈ LỆ SIZE,,,,,,,,,,,,,,,,,THÔNG TIN NHẬP HÀNG,,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,Màu,LOẠI SP,CHẤT LIỆU,S / 29,M / 30,L / 31,XL / 32,XXL / 34,SL ĐẶT HÀNG (pcs),"ĐƠN GIÁ
(VNĐ)",TỔNG GIÁ TRỊ,NHÀ MÁY,TIMELINE NHẬP KHO,NGÀY GỬI PO,NGÀY GIAO HÀNG DỰ KIẾN,⚠️ Phân loại đơn hàng,Quý,Tuần,Mã Đơn Đặt Hàng,Trạng Thái,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Giá Trị Nhập Hàng thực tế,
41,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,XÁM ĐẬM ,,,,250,250,200,100,800,124.200 đ,99.360.000 đ,AT,Tháng 3,Revised 24/12/2025,20/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,41_PO119_XÁM ĐẬM ,,21/03/2026,20/03/2026,792,"99,00%",Đúng hạn,Hoàn thành,,98.366.400 đ,
42,RESTOCK,DUY TRÌ,NIVIX,,PO202,KEM NHẠT,,,150,200,150,100,,600,131.868 đ,79.120.800 đ,TLN,Tháng 3,Revised 24/12/2025,10/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,42_PO202_KEM NHẠT,,11/03/2026,10/03/2026,585,"97,50%",Đúng hạn,Hoàn thành,,77.142.780 đ,
43,RESTOCK,DUY TRÌ,ADEN,,PO105,TRẮNG,,,,300,150,150,,600,127.656 đ,76.593.600 đ,TLN,Tháng 3,Revised 24/12/2025,09/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,43_PO105_TRẮNG,,10/03/2026,13/03/2026,590,"98,33%",Trễ hạn,Hoàn thành,,75.317.040 đ,
44,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE,,,,200,300,300,,800,112.000 đ,89.600.000 đ,LC,Tháng 3,REVISE 20/01/2026,03/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,44_PO99_BE,,04/03/2026,03/03/2026,800,"100,00%",Đúng hạn,Hoàn thành,,89.600.000 đ,CHUYỂN TỪ THÁNG 1 SANG
45,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE ĐẬM,,,,150,200,150,,500,112.000 đ,56.000.000 đ,LC,Tháng 3,REVISE 20/01/2026,03/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,45_PO99_BE ĐẬM,,04/03/2026,03/03/2026,609,"121,80%",Đúng hạn,Hoàn thành,,68.208.000 đ,CHUYỂN TỪ THÁNG 1 SANG
46,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,NÂU,,,,150,200,150,,500,112.000 đ,56.000.000 đ,LC,Tháng 3,REVISE 20/01/2026,03/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,46_PO99_NÂU,,04/03/2026,03/03/2026,365,"73,00%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,40.880.000 đ,CHUYỂN TỪ THÁNG 1 SANG
47,RESTOCK,DUY TRÌ,IRISH PMD35 ,,PO260,KEM,,,,175,175,150,100,600,139.320 đ,83.592.000 đ,AT,Tháng 3,Revised 20/1/2026,05/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,47_PO260_KEM,,06/03/2026,04/03/2026,649,"108,17%",Đúng hạn,Hoàn thành,,90.418.680 đ,CHUYỂN TỪ THÁNG 1 SANG
48,RESTOCK,DUY TRÌ,STRIPE,,PO256,BE NHẠT,,,,175,175,150,100,600,133.000 đ,79.800.000 đ,TLN,Tháng 2,Revised 20/1/2026,03/02/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,48_PO256_BE NHẠT,Cancel,04/02/2026,,,,Trễ hạn,Chưa nhận hàng,,,CHUYỂN TỪ THÁNG 12 ->1 SANG
49,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,TRẮNG,,,,20,30,250,150,450,112.860 đ,50.787.000 đ,TLN,Tháng 4,RV 27/2/2026,01/04/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 1,49_PO88_TRẮNG,,02/04/2026,01/04/2026,440,"97,78%",Đúng hạn,Hoàn thành,,49.658.400 đ,
50,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐEN,,,,300,300,250,150,1.000,112.860 đ,112.860.000 đ,TLN,Tháng 3,10/1/2026,18/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,50_PO88_ĐEN,,19/03/2026,31/03/2026,928,"92,80%",Trễ hạn,Hoàn thành(thiếu),HOÀN THÀNH,104.734.080 đ,
